molecule_chembl_id,canonical_smiles,pchembl_value
CHEMBL341484,Cc1nn(C)c(SCC(=O)N2CC[C@@H]3[C@H]2C(=O)N3S(=O)(=O)[O-])nc1=O.[Na+],7.26
CHEMBL607575,O=C(NC1CCNCC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.17
CHEMBL598365,O=C(N[C@@H]1CCCNCC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.4
CHEMBL598570,O=C(N[C@H]1CCCCNC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.72
CHEMBL598571,O=C(NC1CNCCNC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,4.77
CHEMBL589754,O=C(N[C@@H]1CNCCOC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,6.22
CHEMBL609910,O=C(N[C@H]1CNCCOC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.96
CHEMBL592718,O=C1NCCCC[C@@H]1NC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,6.1
CHEMBL590627,O=C(NC1CCCCCC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,6.4
CHEMBL600251,O=C(NC1CCCNCCC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.47
CHEMBL1800866,CN1CCC[C@H](NC(=O)N2CC[C@@H]3[C@H]2C(=O)N3S(=O)(=O)O)CC1,5.58
CHEMBL1800867,C[N+]1(C)CCC[C@H](NC(=O)N2CC[C@@H]3[C@H]2C(=O)N3S(=O)(=O)[O-])CC1,5.82
CHEMBL1800868,O=C(N[C@H]1CCCN(CCO)CC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,6.05
CHEMBL1800869,O=C(N[C@H]1CCCN(CCCO)CC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.96
CHEMBL1800870,NCCN1CCC[C@H](NC(=O)N2CC[C@@H]3[C@H]2C(=O)N3S(=O)(=O)O)CC1,6.22
CHEMBL1800871,CN(C)CCN1CCC[C@H](NC(=O)N2CC[C@@H]3[C@H]2C(=O)N3S(=O)(=O)O)CC1,6.05
CHEMBL1800873,NC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,4.8
CHEMBL1800874,CC(C)NC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.75
CHEMBL1800875,CN(C)CCCNC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.68
CHEMBL1800876,CN(C)CCCCNC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.8
CHEMBL1800877,CN(C)CCCCCNC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.72
CHEMBL1800878,CNCCCNC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.28
CHEMBL1800183,CNCCCCNC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)O,5.46
CHEMBL4106650,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2S(=O)(=O)[O-].[Na+],6.19
CHEMBL4111243,CC1(Cn2ccnn2)[C@@H](C(=O)[O-])N2C(=O)CC2S1(=O)=O.[Na+],6.02
CHEMBL2107817,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],6.19
CHEMBL304479,C[C@]1(CCl)[C@H](C(=O)O)N2C(=O)[C@H](Cl)[C@H]2S1(=O)=O,4.16
CHEMBL81936,O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1,4.92
CHEMBL196812,O=C(O)c1ccccc1C(=O)c1ccccc1,5.1
CHEMBL4088285,CC(=O)SCC(CCCc1ccccc1)c1nnn[nH]1,4.38
CHEMBL4064978,CC(=O)SCC(Cc1ccccc1)c1nnn[nH]1,4.17
CHEMBL4075406,O=P(O)(O)C(CO)CCCCc1ccccc1,5.35
CHEMBL4069211,O=P(O)(O)C(CO)CCCc1ccccc1,4.47
CHEMBL4087458,CCOP(=O)(OCC)C(CS)CCCCc1ccccc1,5.78
